,SatelliteCatalogNumber,ElsetClassification,InternationalDesignator,ElementSetEpoch(UTC),1stDerivativeMeanMotion,2ndDerivativeMeanMotion,b*DragTerm,ElementSetType,ElementNumber,Checksum,OrbitInclination,RightAscension,Eccentricity,ArgumentofPerigee,MeanAnomaly,MeanMotion,RevolutionNumberatEpoch,Checksum(2),OrbitalPeriod,SemiMajorAxis
2121,10230, U, 77065BH,20122.47982598,1.662e-05, 00000-0, 14006-3,0,999,9,29.0157,200.4519,203323,138.6999,222.9165,14.7882076,18999,7,5842.493041550215,7010.664727854533
2122,10234, U, 77065BM,20121.86246758,1.582e-05, +00000-0, +16367-3,0,999,9,28.9544,277.3803,438131,173.4655,187.1876,14.34206855,15606,9,6024.2356044240205,7155.308473329968
2123,10240, U, 77065BR,20122.48203715,-2.2e-06, 00000-0, -20986-3,0,999,3,29.3872,211.6791,714809,53.8108,312.6444,13.11044059,77816,2,6590.167539136837,7596.695161470714
2124,10250, U, 77065CB,20122.22841292,6.38e-06, +00000-0, +11578-3,0,999,2,29.0773,117.8129,589483,327.8992,28.694,13.83926213,99673,5,6243.107413415255,7327.586161309144
2125,10251, U, 77065CC,20121.92179377,6.71e-06, +00000-0, +80284-4,0,999,5,28.9747,313.5523,719771,140.5112,225.0211,13.72881696,10843,6,6293.331774451744,7366.832818545756
2126,10252, U, 77065CD,20121.96040577,6e-07, +00000-0, -16974-4,0,999,7,28.848,342.445,784135,293.5719,58.4408,13.21026411,4314,0,6540.368858681357,7558.377122290984
2127,10261, U, 77065CN,20121.6685688,1.634e-05, 00000-0, 16901-3,0,999,2,29.0182,248.482,350496,240.9176,115.5879,14.49330702,16137,5,5961.372368692153,7105.44413481916
2128,10262, U, 77065CP,20122.4930705,3.14e-06, 00000-0, 47537-4,0,999,9,29.0616,229.711,681074,141.8071,223.2797,13.65100031,9885,9,6329.206507797669,7394.802392084405
2129,10282, U, 77079A,20121.80369428,-1e-08, 00000-0, 93570-4,0,999,9,74.0245,252.402,19826,245.9393,225.6674,12.54250166,95453,3,6888.577920267942,7824.323158069135
2130,10286, U, 77079B,20122.23435748,-8e-08, +00000-0, +44916-4,0,999,7,74.0258,72.657,43080,35.1042,68.0136,12.58857381,93070,3,6863.36683599268,7805.220987098348
2131,10287, U, 77079C,20122.24666396,-2.5e-07, +00000-0, -51816-4,0,999,1,74.023,163.8277,31194,152.763,276.0482,12.56507836,92896,8,6876.200651087704,7814.947949875444
